Entry	Status	Gene ontology IDs	Organism ID	Protein names
A0A2R9C9R2	unreviewed	GO:0005501; GO:0005576; GO:0034632	9597	Retinol-binding protein
A0A2J8Y5C5	unreviewed	GO:0005501; GO:0005576; GO:0034632	9601	Retinol-binding protein
A0A2J8PE45	unreviewed	GO:0005501; GO:0005576; GO:0034632	9598	Retinol-binding protein
Q5VY30	unreviewed	GO:0005501; GO:0005576; GO:0034632	9606	Retinol-binding protein
A0A2K5YHH2	unreviewed	GO:0005501; GO:0005576; GO:0034632	9568	Retinol-binding protein
A0A2K5JI21	unreviewed	GO:0005501; GO:0005576; GO:0034632	336983	Retinol-binding protein
A0A384CJI8	unreviewed		29073	retinol-binding protein 4
G1M5F0	unreviewed	GO:0001654; GO:0005615; GO:0006094; GO:0019841; GO:0030277; GO:0032024; GO:0032526; GO:0034632; GO:0042572; GO:0042593	9646	Retinol-binding protein
D2H3D0	unreviewed	GO:0005501; GO:0034632	9646	Uncharacterized protein (Fragment)
A0A1D5R0Y2	unreviewed	GO:0001654; GO:0005615; GO:0006094; GO:0019841; GO:0030277; GO:0032024; GO:0032526; GO:0034632; GO:0042572; GO:0042593	9544	Uncharacterized protein
A0A1D5RCN1	unreviewed	GO:0005501; GO:0034632	9544	Uncharacterized protein
A0A2K5EEK3	unreviewed	GO:0001654; GO:0005615; GO:0006094; GO:0019841; GO:0030277; GO:0032024; GO:0032526; GO:0034632; GO:0042572; GO:0042593	37293	Retinol-binding protein
A0A2K5EEG5	unreviewed	GO:0005501; GO:0005576; GO:0034632	37293	Retinol-binding protein
F6YK92	unreviewed	GO:0001654; GO:0005615; GO:0006094; GO:0019841; GO:0030277; GO:0032024; GO:0032526; GO:0034632; GO:0042572; GO:0042593	9483	Apolipoprotein D (Apo-D)
A0A2K6BQI8	unreviewed	GO:0001654; GO:0005615; GO:0006094; GO:0019841; GO:0030277; GO:0032024; GO:0032526; GO:0034632; GO:0042572; GO:0042593	9545	Retinol-binding protein
A0A2K5W172	unreviewed	GO:0001654; GO:0005615; GO:0006094; GO:0019841; GO:0030277; GO:0032024; GO:0032526; GO:0034632; GO:0042572; GO:0042593	9541	Retinol-binding protein
A0A2K5Q9M4	unreviewed	GO:0001654; GO:0005615; GO:0006094; GO:0019841; GO:0030277; GO:0032024; GO:0032526; GO:0034632; GO:0042572; GO:0042593	1737458	Retinol-binding protein
A0A2K6T3I9	unreviewed	GO:0001654; GO:0005615; GO:0006094; GO:0019841; GO:0030277; GO:0032024; GO:0032526; GO:0034632; GO:0042572; GO:0042593	39432	Retinol-binding protein
H9FY19	unreviewed	GO:0005501; GO:0005576; GO:0034632	9544	Retinol-binding protein
U3DZ51	unreviewed	GO:0005501; GO:0005576; GO:0034632	9483	Retinol-binding protein
A0A2K6BQL7	unreviewed	GO:0005501; GO:0005576; GO:0034632	9545	Retinol-binding protein
A0A2K5W0Z7	unreviewed	GO:0005501; GO:0005576; GO:0034632	9541	Retinol-binding protein
A0A2K5Q9R6	unreviewed	GO:0005501; GO:0005576; GO:0034632	1737458	Retinol-binding protein
F6YKK7	unreviewed	GO:0005501; GO:0005576; GO:0034632	9483	Retinol-binding protein
A0A2K6T3J1	unreviewed	GO:0005501; GO:0005576; GO:0034632	39432	Retinol-binding protein
F7GF01	unreviewed	GO:0005501; GO:0005576; GO:0034632	9544	Retinol-binding protein
G7N2L0	unreviewed	GO:0005501; GO:0034632	9544	Uncharacterized protein (Fragment)
G7PDK8	unreviewed	GO:0005501; GO:0034632	9541	Uncharacterized protein (Fragment)
